User ID,Sex,Age,FamilySize,YearsAtThisHome,MainHousehold,MonthlyIncome,MonthlyExpenses,AvailableIncome,PerCapitaAvailableIncome,ParticipatesInCommunity,SocialFabric,LoanOpinion, TotalPaidAvg , LoanSizeAvg , UpfrontPaymentAvg ,LoanPeriodMonths, MonthlyPayment ,CreditRating
07-059-0001-001,Masculino,50,5,10,1,10000,5000,5000,1000,1,2,4,11620 ,11620 ,11620 ,1,,3
12-012-0015-001,Masculino,51,15,10,1,4000,3500,500,33,2,2,4,6408 ,6408 ,6408 ,1,,3
04-003-0156-025,Masculino,56,3,3.5,0,5000,4000,1000,333,2,3,4,2225 ,2225 ,1925 ,1,300,1.5
04-009-0045-001,Masculino,,4,,,,,,,,,,6860 ,6860 ,6860 ,1,,3
04-010-0001-001,Masculino,32,3,10,1,3500,2500,1000,333,2,3,4,4010 ,4010 ,4010 ,1,,3
04-011-1143-019,Femenino,25,3,10,1,3500,2000,1500,500,2,3,4,3250 ,3250 ,800 ,3.5,754,1
04-011-1143-019,Femenino,,3,10,1,2000,1500,500,167,2,3,4,3250 ,3250 ,800 ,3.5,754,1
12-018-0001-001,Femenino,59,2,1,0,8000,7000,1000,500,2,2,5,5700 ,5700 ,5700 ,1,,3
12-052-0001-009,Masculino,49,4,10,0,7000,6000,1000,250,1,3,4,6450 ,6450 ,2750 ,2,2700,3
12-052-0001-013,Masculino,38,5,10,0,18000,15000,3000,600,1,3,4,3350 ,3350 ,3350 ,1,,3
12-052-0008-001,Masculino,38,4,3.5,0,6000,6000, , ,1,2,4,6700 ,6500 ,3050 ,2,2883,2.5
12-063-0005-002,Masculino,59,4,10,1,5000,4000,1000,250,2,3,4,6850 ,6850 ,3250 ,1,3600,2
12-063-0008-004,Masculino,45,6,10,1,5000,4500,500,83,2,3,4,4470 ,4380 ,3055 ,2,472,2.5
30-109-0032-005,Masculino,,4,10,1,5000,2500,2500,625,1,2,3,2600 ,2600 ,438 ,7.5,330,1
30-154-0097-001,Masculino,50,5,10,0,50000,30000,20000,4000,2,3,4,9500 ,9500 ,9500 ,1,,3
30-154-0097-001,Masculino,,5,10,1,30000,10000,20000,4000,1,2,4,9500 ,9500 ,9500 ,1,,3
30-175-0170-004,Masculino,,4,3.5,0,6500,4000,2500,625,1,2,4,3375 ,3375 ,2675 ,2,233,2
30-189-0714-019,Femenino,33,4,10,1,8000,3000,5000,1250,1,2,4,3630 ,3310 ,710 ,7.5,568,2.5
31-008-0001-001,Masculino,40,4,10,0,8000,5000,3000,750,2,3,4,7050 ,7050 ,3900 ,1,3150,0
04-003-0105-001,Masculino,36,3,10,1,3000,2300,700,233,2,3,5,1900 ,1900 ,1900 ,1,,3
04-003-0291-011,Masculino,40,5,10,1,4000,2500,1500,300,2,3,4,2500 ,2500 ,2500 ,1, ,3
04-003-0612-001,Masculino,45,3,10,0,15000,10000,5000,1667,1,2,4,3835 ,3835 ,3835 ,1, ,3
04-003-0614-001,Masculino,38,4,10,1,4000,3000,1000,250,1,3,4,5270 ,5270 ,5270 ,1, ,3
04-003-0811-001,Masculino,,3,,,,,,,,,,3250 ,3250 ,3250 ,1, ,3
04-003-0811-002,Masculino,,5,,,,,,,,,,2800 ,2800 ,2800 ,1, ,3
04-003-0911-013,Masculino,53,2,10,1,4000,2000,2000,1000,2,3,4,10100 ,8900 ,3500 ,6,1100,0
04-003-0911-014,Masculino,29,5,10,1,4000,2500,1500,300,2,3,4,3265 ,3265 ,1500 ,2,882,1
04-003-1564-014,Femenino,56,3,10,1,5000,4000,1000,333,1,3,5,7850 ,7850 ,2000 ,3,1950,2
04-003-1564-017,Masculino,43,5,10,1,4000,3000,1000,200,2,3,5,5700 ,5700 ,2000 ,3,1233,3
04-003-3304-001,Masculino,34,5,10,1,4000,2800,1200,240,2,3,4,2140 ,2140 ,2140 ,1, ,3
04-003-3395-002,Masculino,33,4,10,1,5000,3000,2000,500,2,3,4,16500 ,16500 ,15000 ,1,1500,1
04-003-3781-010,Masculino,49,4,10,1,4000,3000,1000,250,2,3,4,2800 ,2800 ,2800 ,1, ,3
04-004-0091-001,Masculino,33,4,10,1,10000,5000,5000,1250,2,3,5,7315 ,7315 ,7315 ,1, ,3
04-004-0442-001,Masculino,37,4,10,1,6000,4000,2000,500,2,3,5,11500 ,11500 ,6000 ,1,5499,3
04-006-0019-002,Masculino,45,4,10,1,10000,5000,5000,1250,2,3,4,30000 ,30000 ,30000 ,1, ,3
04-006-0037-001,Masculino,56,5,10,1,4000,3000,1000,200,2,3,5,16230 ,16230 ,16230 ,1, ,3
04-009-0001-006,Masculino,74,3,10,1,3000,2000,1000,333,2,3,4,4500 ,4500 ,1500 ,3,1000,0
04-009-0001-007,Masculino,55,5,10,1,10000,5000,5000,1000,2,3,4,9200 ,9200 ,9200 ,1, ,3
04-009-0001-013,Masculino,39,4,10,0,5000,4000,1000,250,1,3,4,6755 ,4700 ,4250 ,1,2505,3
04-009-0536-001,Masculino,55,4,10,1,4000,3000,1000,250,2,3,5,4350 ,4350 ,4350 ,1, ,3
04-009-0536-002,Masculino,37,5,10,1,6000,4000,2000,400,2,1,5,4500 ,4500 ,4500 ,1, ,3
04-009-0936-001,Masculino,43,2,10,1,6000,4000,2000,1000,1,2,4,4987 ,4987 ,4987 ,1, ,3
04-009-0963-001,Masculino,,4,,,,,,,,,,4950 ,4950 ,4950 ,1, ,3
04-009-0968-001,Masculino,,4,,,,,,,,,,1450 ,1450 ,1450 ,1, ,3
04-009-1002-001,Masculino,40,4,10,1,5000,3000,2000,500,2,3,4,9900 ,8900 ,4500 ,6,900,2
04-010-0066-001,Masculino,61,2,10,1,4000,3500,500,250,1,2,4,2100 ,2100 ,2100 ,1, ,3
04-010-0068-001,Masculino,80,2,10,1,4000,2000,2000,1000,2,2,4,39997 ,35000 ,8000 ,1,31994,3
04-010-0156-004,Masculino,44,6,10,1,15000,7000,8000,1333,2,3,4,6140 ,6140 ,6140 ,1, ,3
04-010-0161-003,Masculino,33,4,10,1,20000,10000,10000,2500,2,3,4,14300 ,14300 ,14300 ,1, ,3
04-010-0161-005,Masculino,50,4,10,1,6000,5000,1000,250,2,3,5,11550 ,11550 ,8550 ,2,1500,2
04-010-0171-001,Masculino,,5,,,,,,,,,,1285 ,1285 ,1285 ,1, ,3
04-010-0262-001,Masculino,42,5,10,1,4000,3200,800,160,2,3,4,11280 ,11280 ,11280 ,1, ,3
04-010-0262-002,Masculino,40,5,10,1,3000,2500,500,100,2,3,4,11280 ,11280 ,11280 ,1, ,3
04-011-0001-002,Masculino,56,5,10,1,5000,2000,3000,600,2,3,4,14040 ,14040 ,14040 ,1, ,3
04-011-0001-003,Masculino,40,3,10,0,5000,3400,1600,533,2,3,5,2500 ,2500 ,2500 ,1, ,3
04-011-0343-001,Femenino,40,5,10,1,5000,3000,2000,400,,,4,15000 ,12500 ,5000 ,1,9999,3
04-011-0427-037,Masculino,65,3,10,1,8000,5000,3000,1000,2,3,4,6500 ,6500 ,6500 ,1, ,3
04-011-0427-043,Masculino,61,2,10,1,6000,4000,2000,1000,2,3,4,7900 ,7900 ,5000 ,2,1450,2
04-011-0835-056,Masculino,73,4,10,1,3000,2000,1000,250,2,3,4,10000 ,8900 ,4000 ,12,500,2
04-011-0835-058,Masculino,73,5,10,1,2500,1800,700,140,2,3,4,3200 ,3200 ,1400 ,1,1800,3
04-011-0835-063,Femenino,,5,10,1,3500,2500,1000,200,2,3,5,9900 ,9900 ,5000 ,1,4900,3
04-011-1083-001,Masculino,62,4,10,1,6000,4000,2000,500,2,3,5,10000 ,10000 ,10000 ,1, ,3
04-011-1143-015,Masculino,25,4,10,1,3000,1500,1500,375,2,3,4,10300 ,8900 ,2500 ,6,1300,1
04-011-1143-016,Masculino,25,3,10,1,3500,2000,1500,500,2,3,4,3500 ,3500 ,2000 ,3,500,1
04-011-1143-017,Masculino,22,4,10,1,4000,2000,2000,500,2,3,4,5800 ,5800 ,1500 ,3,1433,1
04-011-1143-018,Masculino,36,3,10,1,4000,2000,2000,667,2,3,4,9870 ,8900 ,3000 ,6,1145,3
04-011-1148-018,Masculino,45,2,1,1,3000,2000,1000,500,2,3,4,11130 ,9200 ,3000 ,9,903,3
04-011-1183-004,Masculino,31,3,10,1,3500,2000,1500,500,,,4,7300 ,5500 ,3000 ,3,1433,3
